incident_id,No,Type,Status,Age Group,Gender
450852,0,Subject-Suspect,Arrested,Adult 18+,Male
450852,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450852,2,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450336,0,Subject-Suspect,Injured,Adult 18+,Male
450336,1,Subject-Suspect,Unharmed,Adult 18+,Male
450805,0,Victim,Unharmed,Adult 18+,Male
450805,1,Victim,Unharmed,Adult 18+,Female
449924,0,Victim,Killed,Adult 18+,Male
449924,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449924,2,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449924,3,Subject-Suspect,"Unharmed, Arrested",Teen 12-17,Male
449783,0,Victim,Injured,Adult 18+,Male
449775,0,Victim,Unharmed,Adult 18+,Female
449775,1,Subject-Suspect,Unharmed,Adult 18+,Male
449758,0,Victim,Unharmed,Adult 18+,Male
449758,1,Subject-Suspect,Unharmed,,Male
449758,2,Subject-Suspect,Unharmed,,Male
449758,3,Subject-Suspect,Unharmed,,Male
449758,4,Subject-Suspect,Unharmed,,Male
450740,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449736,0,Subject-Suspect,"Unharmed, Arrested",Teen 12-17,Male
449732,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Female
449732,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449732,2,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449859,0,Victim,Killed,Teen 12-17,Male
450012,0,Victim,Injured,Adult 18+,Male
449593,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Female
449593,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449593,2,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Female
449396,0,Victim,Killed,Adult 18+,Male
449861,0,Subject-Suspect,"Unharmed, Arrested",Teen 12-17,Male
450533,0,Victim,Killed,Adult 18+,Male
485583,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449587,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449587,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Female
449331,0,Victim,Killed,Adult 18+,Male
449331,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449584,0,Subject-Suspect,Arrested,Adult 18+,Male
449584,1,Subject-Suspect,Arrested,Adult 18+,Male
450548,0,Subject-Suspect,Unharmed,Teen 12-17,Male
450544,0,Victim,Killed,Adult 18+,Male
449814,0,Victim,Injured,Adult 18+,Male
449814,1,Victim,Injured,Adult 18+,Male
449814,2,Victim,Injured,Adult 18+,Male
449814,3,Victim,Injured,Child 0-11,Male
449814,4,Victim,Injured,Child 0-11,Female
449540,0,Subject-Suspect,Unharmed,Adult 18+,Male
449520,0,Victim,Injured,Adult 18+,Male
449520,1,Subject-Suspect,Killed,Adult 18+,Male
451067,0,Subject-Suspect,"Unharmed, Arrested",Teen 12-17,Female
449642,0,Victim,Injured,Adult 18+,Male
449642,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450523,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
478590,0,Victim,"Unharmed, Arrested",Adult 18+,Male
478590,1,Subject-Suspect,Unharmed,,
478590,2,Subject-Suspect,Unharmed,,
449884,0,Victim,Injured,Adult 18+,Female
449884,1,Victim,Killed,Child 0-11,
450103,0,Victim,Injured,Adult 18+,Male
453181,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450087,0,Victim,Unharmed,Child 0-11,
450087,1,Victim,Unharmed,Child 0-11,
450087,2,Victim,Unharmed,Child 0-11,
450087,3,Subject-Suspect,Unharmed,Adult 18+,Male
450087,4,Subject-Suspect,Unharmed,Adult 18+,Male
450087,5,Subject-Suspect,Unharmed,Adult 18+,Male
449368,0,Victim,Killed,Adult 18+,Male
450494,0,Victim,Injured,Adult 18+,Male
450491,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
488726,0,Victim,Killed,Adult 18+,Male
488726,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449916,0,Victim,Killed,Adult 18+,Female
449916,1,Victim,Injured,Adult 18+,Male
449901,0,Victim,Injured,Adult 18+,Male
450395,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449292,0,Victim,Killed,Adult 18+,Male
449292,1,Victim,Injured,Adult 18+,Female
449292,2,Subject-Suspect,Unharmed,Adult 18+,Male
449633,0,Victim,Injured,Adult 18+,Male
449882,0,Victim,Killed,Adult 18+,Male
450274,0,Victim,Unharmed,Adult 18+,Female
450274,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450678,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449700,0,Victim,Injured,Adult 18+,Male
449700,1,Victim,Injured,Adult 18+,Male
449685,0,Victim,Killed,Adult 18+,Male
450064,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450064,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450064,2,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450064,3,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450064,4,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450064,5,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Female
450064,6,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450064,7,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450064,8,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450268,0,Victim,Injured,Adult 18+,Male
450226,0,Victim,Unharmed,,Male
450226,1,Victim,Unharmed,,Female
450226,2,Subject-Suspect,"Unharmed, Arrested",Teen 12-17,Male
449863,0,Victim,Injured,Adult 18+,Male
449863,1,Subject-Suspect,Unharmed,Adult 18+,Male
449863,2,Subject-Suspect,Unharmed,Adult 18+,Male
449545,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449365,0,Victim,Killed,Adult 18+,Male
449281,0,Subject-Suspect,Killed,Adult 18+,Male
